key,spec,probe
FSProbe_Cal_F0_BE_Error,[1.0703~0.9238],Cal Probe 6
FSProbe_Cal_F0_INT_Ratio_Meas,[1.0695~0.9295],"Cal Probe 1,2,3"
FSProbe_Cal_F0_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F0_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F0_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F0_INT2TC_Error,[2.4916~0],"Cal Probe 2,8"
FSProbe_Cal_F0_LE_Error,[1.07~0.9231],Cal Probe 4
FSProbe_Cal_F0_MC_Median_Gain,[0.957~0.7535],"Cal Probe 1,2,3,4"
FSProbe_Cal_F0_RE_Error,[1.0797~0.9229],Cal Probe 6
FSProbe_Cal_F0_TCINT_Ratio,[1.6268~1.0027],Cal Probe 8
FSProbe_Cal_F0_TE_Error,[1.0944~0.8912],Cal Probe 5
FSProbe_Cal_F2_BE_Error,[1.074~0.927],Cal Probe 7
FSProbe_Cal_F2_INT_Ratio_Meas,[1.067~0.9274],"Cal Probe 1,2,3"
FSProbe_Cal_F2_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F2_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F2_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F2_INT2TC_Error,[2.474~0],"Cal Probe 2,8"
FSProbe_Cal_F2_LE_Error,[1.0723~0.9249],Cal Probe 4
FSProbe_Cal_F2_MC_Median_Gain,[1.0812~0.8342],"Cal Probe 1,2,3,4"
FSProbe_Cal_F2_RE_Error,[1.0831~0.9257],Cal Probe 6
FSProbe_Cal_F2_TCINT_Ratio,[1.4932~1.0691],Cal Probe 8
FSProbe_Cal_F2_TE_Error,[1.0851~0.8814],Cal Probe 5
FSProbe_Cal_F3_BE_Error,[1.0745~0.9266],Cal Probe 7
FSProbe_Cal_F3_INT_Ratio_Meas,[1.0664~0.9268],"Cal Probe 1,2,3"
FSProbe_Cal_F3_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F3_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F3_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F3_INT2TC_Error,[2.4778~0],"Cal Probe 2,8"
FSProbe_Cal_F3_LE_Error,[1.0933~0.9361],Cal Probe 4
FSProbe_Cal_F3_MC_Median_Gain,[1.1067~0.8542],"Cal Probe 1,2,3,4"
FSProbe_Cal_F3_RE_Error,[1.0838~0.9263],Cal Probe 6
FSProbe_Cal_F3_TCINT_Ratio,[1.4861~1.082],Cal Probe 8
FSProbe_Cal_F3_TE_Error,[1.0854~0.8817],Cal Probe 5
FSProbe_Cal_F4_BE_Error,[1.0759~0.9285],Cal Probe 6
FSProbe_Cal_F4_INT_Ratio_Meas,[1.0648~0.9254],"Cal Probe 1,2,3"
FSProbe_Cal_F4_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F4_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F4_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F4_INT2TC_Error,[2.4807~0],"Cal Probe 2,8"
FSProbe_Cal_F4_LE_Error,[1.0848~0.9271],Cal Probe 4
FSProbe_Cal_F4_MC_Median_Gain,[1.1482~0.8905],"Cal Probe 1,2,3,4"
FSProbe_Cal_F4_RE_Error,[1.096~0.9283],Cal Probe 6
FSProbe_Cal_F4_TCINT_Ratio,[1.464~1.0935],Cal Probe 8
FSProbe_Cal_F4_TE_Error,[1.0849~0.8813],Cal Probe 5
FSProbe_Cal_Raw_F0_R00C05,[1267.8348~801.7975],Cal Probe 7
FSProbe_Cal_Raw_F0_R08C07,[1356.6754~946.0188],Cal Probe 3
FSProbe_Cal_Raw_F0_R13C14,[1383.1301~926.0332],Cal Probe 6
FSProbe_Cal_Raw_F0_R16C07,[1356.6754~946.0188],Cal Probe 2
FSProbe_Cal_Raw_F0_R20C00,[1336.0958~894.0282],Cal Probe 4
FSProbe_Cal_Raw_F0_R24C07,[1356.6754~946.0188],Cal Probe 1
FSProbe_Cal_Raw_F0_R31C05,[849.2003~491.4169],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C06,[479.686~148.7526],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C07,[410.0554~199.9686],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C08,[819.1867~340.2384],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C09,[484.8492~101.5388],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C05,[955.3893~574.1738],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C06,[756.024~407.6461],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C07,[771.674~414.8226],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C08,[940.4511~512.8108],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C09,[754.1857~289.5577],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C13,[1036.0092~607.5133],Cal Probe 5
FSProbe_Cal_Raw_F2_R00C05,[1160.1659~711.5405],Cal Probe 7
FSProbe_Cal_Raw_F2_R08C07,[1240.6074~818.9281],Cal Probe 3
FSProbe_Cal_Raw_F2_R13C14,[1255.8348~794.5697],Cal Probe 6
FSProbe_Cal_Raw_F2_R16C07,[1240.6074~818.9281],Cal Probe 2
FSProbe_Cal_Raw_F2_R20C00,[1219.7212~777.3458],Cal Probe 4
FSProbe_Cal_Raw_F2_R24C07,[1240.6074~818.9281],Cal Probe 1
FSProbe_Cal_Raw_F2_R31C05,[718.7905~424.4457],Cal Probe 8
FSProbe_Cal_Raw_F2_R31C06,[358.1935~151.4021],Cal Probe 8
FSProbe_Cal_Raw_F2_R31C07,[388.1472~186.3872],Cal Probe 8
FSProbe_Cal_Raw_F2_R31C08,[727.9082~380.8792],Cal Probe 8
FSProbe_Cal_Raw_F2_R31C09,[396.5501~42.2491],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C05,[877.6124~499.0981],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C06,[732.8727~365.9722],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C07,[672.4428~365.054],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C08,[855.0312~513.9454],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C09,[665.247~321.2414],Cal Probe 8
FSProbe_Cal_Raw_F2_R32C13,[940.4786~579.3421],Cal Probe 5
FSProbe_Cal_Raw_F3_R00C05,[1139.042~696.322],Cal Probe 7
FSProbe_Cal_Raw_F3_R08C07,[1216.0597~798.9935],Cal Probe 3
FSProbe_Cal_Raw_F3_R13C14,[1229.6499~773.0915],Cal Probe 6
FSProbe_Cal_Raw_F3_R16C07,[1216.0597~798.9935],Cal Probe 2
FSProbe_Cal_Raw_F3_R20C00,[1195.7806~758.6499],Cal Probe 4
FSProbe_Cal_Raw_F3_R24C07,[1216.0597~798.9935],Cal Probe 1
FSProbe_Cal_Raw_F3_R31C05,[753.9726~414.4273],Cal Probe 8
FSProbe_Cal_Raw_F3_R31C06,[375.577~148.7143],Cal Probe 8
FSProbe_Cal_Raw_F3_R31C07,[372.0902~182.6098],Cal Probe 8
FSProbe_Cal_Raw_F3_R31C08,[711.5018~389.6101],Cal Probe 8
FSProbe_Cal_Raw_F3_R31C09,[384.6222~49.8047],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C05,[883.6173~487.4433],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C06,[740.1249~357.7848],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C07,[700.4441~356.671],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C08,[837.5429~503.8636],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C09,[649.9058~321.8481],Cal Probe 8
FSProbe_Cal_Raw_F3_R32C13,[920.5252~565.6403],Cal Probe 5
FSProbe_Cal_Raw_F4_R00C05,[1084.3949~671.8085],Cal Probe 7
FSProbe_Cal_Raw_F4_R08C07,[1151.2173~767.7386],Cal Probe 3
FSProbe_Cal_Raw_F4_R13C14,[1164.2793~735.0263],Cal Probe 6
FSProbe_Cal_Raw_F4_R16C07,[1151.2173~767.7386],Cal Probe 2
FSProbe_Cal_Raw_F4_R20C00,[1133.2312~729.2521],Cal Probe 4
FSProbe_Cal_Raw_F4_R24C07,[1151.2173~767.7386],Cal Probe 1
FSProbe_Cal_Raw_F4_R31C05,[724.3119~399.0613],Cal Probe 8
FSProbe_Cal_Raw_F4_R31C06,[360.9449~144.6601],Cal Probe 8
FSProbe_Cal_Raw_F4_R31C07,[391.1287~176.4429],Cal Probe 8
FSProbe_Cal_Raw_F4_R31C08,[672.7001~330.7441],Cal Probe 8
FSProbe_Cal_Raw_F4_R31C09,[360.2633~60.8177],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C05,[884.3538~468.3165],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C06,[738.5022~344.7501],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C07,[677.6082~343.105],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C08,[794.2937~486.7064],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C09,[614.9707~316.0152],Cal Probe 8
FSProbe_Cal_Raw_F4_R32C13,[870.4011~510.8538],Cal Probe 5
FSProbe_CalTest_F0_BE_Uniformity,[0.08~-0.08],Cal Probe 7
FSProbe_CalTest_F0_INT_Uniformity,[0.08~-0.08],"Cal Probe 1,2,3"
FSProbe_CalTest_F0_LE_Uniformity,[0.08~-0.08],Cal Probe 4
FSProbe_CalTest_F0_RE_Uniformity,[0.08~-0.08],Cal Probe 6
FSProbe_CalTest_F0_TE_Uniformity,[0.064937~-0.095063],Cal Probe 5
FSProbe_CalTest_F2_BE_Uniformity,[0.08~-0.08],Cal Probe 7
FSProbe_CalTest_F2_INT_Uniformity,[0.08~-0.08],"Cal Probe 1,2,3"
FSProbe_CalTest_F2_LE_Uniformity,[0.08~-0.08],Cal Probe 4
FSProbe_CalTest_F2_RE_Uniformity,[0.08~-0.08],Cal Probe 6
FSProbe_CalTest_F2_TE_Uniformity,[0.0652~-0.0948],Cal Probe 5
FSProbe_CalTest_F3_BE_Uniformity,[0.08~-0.08],Cal Probe 7
FSProbe_CalTest_F3_INT_Uniformity,[0.08~-0.08],"Cal Probe 1,2,3"
FSProbe_CalTest_F3_LE_Uniformity,[0.08~-0.08],Cal Probe 4
FSProbe_CalTest_F3_RE_Uniformity,[0.08~-0.08],Cal Probe 6
FSProbe_CalTest_F3_TE_Uniformity,[0.064991~-0.095009],Cal Probe 5
FSProbe_CalTest_F4_BE_Uniformity,[0.08~-0.08],Cal Probe 7
FSProbe_CalTest_F4_INT_Uniformity,[0.08~-0.08],"Cal Probe 1,2,3"
FSProbe_CalTest_F4_LE_Uniformity,[0.08~-0.08],Cal Probe 4
FSProbe_CalTest_F4_RE_Uniformity,[0.08~-0.08],Cal Probe 6
FSProbe_CalTest_F4_TE_Uniformity,[0.064245~-0.095755],Cal Probe 5
FSProbe_Test_Raw_F0_R00C09,[1267.8348~801.7975],Test Probe 7
FSProbe_Test_Raw_F0_R04C00,[1336.0958~894.0282],Test Probe 4
FSProbe_Test_Raw_F0_R08C11,[1356.6754~946.0188],Test Probe 3
FSProbe_Test_Raw_F0_R16C07,[1356.6754~946.0188],Test Probe 2
FSProbe_Test_Raw_F0_R24C03,[1356.6754~946.0188],Test Probe 1
FSProbe_Test_Raw_F0_R27C14,[1383.1301~926.0332],Test Probe 6
FSProbe_Test_Raw_F0_R31C05,[849.2003~491.4169],Test Probe 8
FSProbe_Test_Raw_F0_R31C06,[479.686~148.7526],Test Probe 8
FSProbe_Test_Raw_F0_R31C07,[410.0554~199.9686],Test Probe 8
FSProbe_Test_Raw_F0_R31C08,[819.1867~340.2384],Test Probe 8
FSProbe_Test_Raw_F0_R31C09,[484.8492~101.5388],Test Probe 8
FSProbe_Test_Raw_F0_R32C01,[1036.0092~607.5133],Test Probe 5
FSProbe_Test_Raw_F0_R32C05,[955.3893~574.1738],Test Probe 8
FSProbe_Test_Raw_F0_R32C06,[756.024~407.6461],Test Probe 8
FSProbe_Test_Raw_F0_R32C07,[771.674~414.8226],Test Probe 8
FSProbe_Test_Raw_F0_R32C08,[940.4511~512.8108],Test Probe 8
FSProbe_Test_Raw_F0_R32C09,[754.1857~289.5577],Test Probe 8
FSProbe_Test_Raw_F2_R00C09,[1160.1659~711.5405],Test Probe 7
FSProbe_Test_Raw_F2_R04C00,[1219.7212~777.3458],Test Probe 4
FSProbe_Test_Raw_F2_R08C11,[1240.6074~818.9281],Test Probe 3
FSProbe_Test_Raw_F2_R16C07,[1240.6074~818.9281],Test Probe 2
FSProbe_Test_Raw_F2_R24C03,[1240.6074~818.9281],Test Probe 1
FSProbe_Test_Raw_F2_R27C14,[1255.8348~794.5697],Test Probe 6
FSProbe_Test_Raw_F2_R31C05,[718.7905~424.4457],Test Probe 8
FSProbe_Test_Raw_F2_R31C06,[358.1935~151.4021],Test Probe 8
FSProbe_Test_Raw_F2_R31C07,[388.1472~186.3872],Test Probe 8
FSProbe_Test_Raw_F2_R31C08,[727.9082~380.8792],Test Probe 8
FSProbe_Test_Raw_F2_R31C09,[396.5501~42.2491],Test Probe 8
FSProbe_Test_Raw_F2_R32C01,[940.4786~579.3421],Test Probe 5
FSProbe_Test_Raw_F2_R32C05,[877.6124~499.0981],Test Probe 8
FSProbe_Test_Raw_F2_R32C06,[732.8727~365.9722],Test Probe 8
FSProbe_Test_Raw_F2_R32C07,[672.4428~365.054],Test Probe 8
FSProbe_Test_Raw_F2_R32C08,[855.0312~513.9454],Test Probe 8
FSProbe_Test_Raw_F2_R32C09,[665.247~321.2414],Test Probe 8
FSProbe_Test_Raw_F3_R00C09,[1139.042~696.322],Test Probe 7
FSProbe_Test_Raw_F3_R04C00,[1195.7806~758.6499],Test Probe 4
FSProbe_Test_Raw_F3_R08C11,[1216.0597~798.9935],Test Probe 3
FSProbe_Test_Raw_F3_R16C07,[1216.0597~798.9935],Test Probe 2
